序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1润阳科技 (300920)化工 -- 塑料2022-06-212022-06-2420.8622.9710.12%
2智云股份 (300097)机械设备 -- 专用设备2022-05-162022-06-215.065.8114.82%
3乐心医疗 (300562)医药生物 -- 医疗器械2022-06-142022-06-209.179.624.91%
4奇德新材 (300995)化工 -- 塑料2022-06-102022-06-1419.8520.734.43%
5嘉美包装 (002969)轻工制造 -- 包装印刷2022-06-092022-06-144.044.316.68%
6仙乐健康 (300791)食品饮料 -- 食品加工2022-05-262022-06-1023.6524.142.07%
7舒华体育 (605299)轻工制造 -- 家用轻工2022-05-112022-06-099.6310.246.33%
8欣贺股份 (003016)纺织服装 -- 服装家纺2022-05-272022-06-067.928.8011.01%
9宇通重工 (600817)综合 -- 综合2022-05-092022-05-277.7011.5750.32%
10新 通 联 (603022)轻工制造 -- 包装印刷2022-05-182022-05-268.218.726.21%
1宇通重工 (600817)综合 -- 综合2022-05-092022-05-277.7011.5750.32%
2新 通 联 (603022)轻工制造 -- 包装印刷2022-05-182022-05-268.218.726.21%
3日久光电 (003015)电子 -- 光学光电子2022-05-102022-05-208.028.829.91%
4伟时电子 (605218)电子 -- 光学光电子2022-04-282022-05-189.3411.2620.58%
5英利汽车 (601279)汽车 -- 汽车零部件2022-04-212022-05-165.795.70-1.55%
6润阳科技 (300920)化工 -- 塑料2022-04-292022-05-1118.2420.8614.36%
7永安林业 (000663)轻工制造 -- 家用轻工2022-04-222022-05-106.466.18-4.33%
8凯龙高科 (300912)汽车 -- 汽车零部件2022-03-312022-05-1017.5815.64-11.04%
9新 通 联 (603022)轻工制造 -- 包装印刷2022-04-292022-05-097.698.297.80%
10同益股份 (300538)化工 -- 塑料2022-04-222022-04-2912.2910.99-10.58%
1,德利股份,605198,农林牧渔,农产品加工,2022-01-10,2022-03-31,20.02,16.72,-16.48%
2,聚杰微纤,300819,纺织服装,纺织制造,2022-03-08,2022-03-25,22.68,23.95,5.60%
3,锦鸡股份,300798,化工,化学制品,2022-03-11,2022-03-24,8.40,8.59,2.26%
4,海昌新材,300885,机械设备,金属制品,2022-03-10,2022-03-22,16.87,18.93,12.21%
5,东贝集团,601956,家用电器,白色家电,2022-01-13,2022-03-11,6.95,6.93,-0.29%
6,科新发展,600234,综合,综合,2022-02-16,2022-03-10,9.26,9.78,5.62%
7,长源东谷,603950,汽车,汽车零部件,2021-12-24,2022-03-08,17.27,16.20,-6.20%
8,凯龙高科,300912,汽车,汽车零部件,2022-01-21,2022-02-18,22.36,22.06,-1.34%
9,通用电梯,300931,机械设备,专用设备,2022-01-25,2022-02-16,9.76,10.34,5.94%
10,友邦吊顶,002718,建筑材料,其他建材,2022-02-07,2022-02-16,11.80,12.50,5.93%
1,聚杰微纤,300819,纺织服装,纺织制造,2022-03-08,2022-03-25,22.68,23.95,5.60%
2,锦鸡股份,300798,化工,化学制品,2022-03-11,2022-03-24,8.40,8.59,2.26%
3,海昌新材,300885,机械设备,金属制品,2022-03-10,2022-03-22,16.87,18.93,12.21%
4,东贝集团,601956,家用电器,白色家电,2022-01-13,2022-03-11,6.95,6.93,-0.29%
5,科新发展,600234,综合,综合,2022-02-16,2022-03-10,9.26,9.78,5.62%
6,长源东谷,603950,汽车,汽车零部件,2021-12-24,2022-03-08,17.27,16.20,-6.20%
1,凯龙高科,300912,汽车,汽车零部件,2022-01-21,2022-02-18,22.36,22.06,-1.34%
2,通用电梯,300931,机械设备,专用设备,2022-01-25,2022-02-16,9.76,10.34,5.94%
3,友邦吊顶,002718,建筑材料,其他建材,2022-02-07,2022-02-16,11.80,12.50,5.93%
4,聚杰微纤,300819,纺织服装,纺织制造,2022-01-04,2022-02-08,25.73,24.35,-5.36%
