序号,股票名,ticker,一级行业分类,二级行业分类,买入日期,卖出日期,买入价格(前复权,卖出价格(前复权,涨幅
1宇顺电子 (002289)电子 -- 光学光电子2022-06-202022-06-235.946.062.02%
2科信技术 (300565)通信 -- 通信设备2022-06-162022-06-218.699.165.41%
3全筑股份 (603030)建筑装饰 -- 装修装饰2022-06-132022-06-212.862.994.55%
4华立股份 (603038)建筑材料 -- 其他建材2022-05-262022-06-207.948.517.25%
5浩丰科技 (300419)计算机 -- 计算机应用2022-06-142022-06-205.065.325.14%
6天晟新材 (300169)化工 -- 化学制品2022-04-262022-06-164.025.5638.31%
7佳云科技 (300242)传媒 -- 营销传播2022-06-142022-06-163.093.286.15%
8盛通股份 (002599)轻工制造 -- 包装印刷2022-06-022022-06-144.504.704.44%
9科信技术 (300565)通信 -- 通信设备2022-06-082022-06-148.658.720.81%
10凯龙高科 (300912)汽车 -- 汽车零部件2022-06-082022-06-1316.0116.090.50%
1凯龙高科 (300912)汽车 -- 汽车零部件2022-05-202022-06-0215.7216.434.52%
2科信技术 (300565)通信 -- 通信设备2022-04-132022-06-029.259.03-2.38%
3雷曼光电 (300162)电子 -- 光学光电子2022-05-192022-06-016.476.835.56%
4科德教育 (300192)传媒 -- 文化传媒2022-05-122022-05-275.375.899.68%
5盛通股份 (002599)轻工制造 -- 包装印刷2022-05-202022-05-264.394.430.91%
6力星股份 (300421)机械设备 -- 通用机械2022-05-192022-05-208.839.548.03%
7宇顺电子 (002289)电子 -- 光学光电子2022-04-112022-05-205.646.2811.35%
8和顺电气 (300141)电气设备 -- 电源设备2022-05-132022-05-198.068.525.71%
9豆神教育 (300010)计算机 -- 计算机应用2022-05-132022-05-192.642.816.44%
10宏达新材 (002211)化工 -- 化学制品2022-04-292022-05-132.932.23-23.89%
1,锦盛新材,300849,轻工制造,包装印刷,2022-02-16,2022-04-01,11.41,10.64,-6.75%
5,星徽股份,300464,机械设备,通用机械,2022-02-17,2022-02-23,6.92,7.09,2.46%
2,通用电梯,300931,机械设备,专用设备,2022-03-28,2022-03-31,9.71,10.07,3.71%
3,华立股份,603038,建筑材料,其他建材,2022-03-25,2022-03-31,9.41,9.56,1.59%
4,宏达新材,002211,化工,化学制品,2022-01-19,2022-03-28,4.07,3.81,-6.39%
5,星徽股份,300464,机械设备,通用机械,2022-03-03,2022-03-28,6.87,7.30,6.26%
6,酷特智能,300840,纺织服装,服装家纺,2022-03-23,2022-03-25,9.51,9.77,2.73%
7,皮阿诺,002853,轻工制造,家用轻工,2022-03-09,2022-03-23,12.08,13.75,13.82%
